,white,blue,competition,date,round_cat
0,SHATVERYAN Boris,ABUASHVILI Giga,World Championships Juniors 2019,"October
16 - 19",Round 1  -81 kg  #20
0,MOORHEAD Lachlan,ABUASHVILI Giga,World Championships Juniors 2019,"October
16 - 19",Round 2  -81 kg  #42
0,GRIGALASHVILI Tato,ABUASHVILI Giga,World Championships Juniors 2019,"October
16 - 19",Round 3  -81 kg  #53
0,ABUASHVILI Giga,MOORHEAD Lachlan,European Junior Championships 2019,"September
12 - 14",Round 2  -81 kg  #37
0,ABUASHVILI Giga,PECENKA Lukas,Poznan Junior European Cup 2019,"August
3 - 4",Round 2  -81 kg  #17
0,ABUASHVILI Giga,CONSTANTINIDIS Frank,Poznan Junior European Cup 2019,"August
3 - 4",Quarter-Final  -81 kg  #25
0,ABUASHVILI Giga,SOBOTA Matyas,Poznan Junior European Cup 2019,"August
3 - 4",Semi-Final  -81 kg  #37
0,ABUASHVILI Giga,ZARUDNEVS Aleksejs,Poznan Junior European Cup 2019,"August
3 - 4",Final  -81 kg  #43
0,ABUASHVILI Giga,VULIN Jovan,Sarajevo Junior European Cup 2019,"July
6 - 7",Round 1  -81 kg  #5
0,ABUASHVILI Giga,TOMIC Aleksandar,Sarajevo Junior European Cup 2019,"July
6 - 7",Round 2  -81 kg  #19
0,ABUASHVILI Giga,FOUBERT Karel,Sarajevo Junior European Cup 2019,"July
6 - 7",Quarter-Final  -81 kg  #26
0,ABUASHVILI Giga,ELEZ Vuk,Sarajevo Junior European Cup 2019,"July
6 - 7",Final  -81 kg  #43
0,ABUASHVILI Giga,NYSSANALI Aibol,Leibnitz Junior European Cup 2019,"June
1 - 2",Round 2  -81 kg  #86
0,LENZ Johann,ABUASHVILI Giga,Malaga Junior European Cup 2019,"May
18 - 19",Round 1  -81 kg  #6
0,MOORHEAD Lachlan,ABUASHVILI Giga,Malaga Junior European Cup 2019,"May
18 - 19",Round 2  -81 kg  #19
0,ABUASHVILI Giga,PANKOWSKI Jakub,Malaga Junior European Cup 2019,"May
18 - 19",Quarter-Final  -81 kg  #26
0,NOVRUZOV Novruz,ABUASHVILI Giga,Malaga Junior European Cup 2019,"May
18 - 19",Semi-Final  -81 kg  #37
0,HABERMANN Matteo,ABUASHVILI Giga,Malaga Junior European Cup 2019,"May
18 - 19",Bronze  -81 kg  #42
0,KALININ Denis,ABUASHVILI Giga,Ekaterinburg Grand Slam 2019,"March
15 - 17",Round 1  -81 kg  #23
0,AGBEGNENOU Clarisse,OLSEN Laerke,World Judo Championships Seniors Hungary 2021,"June
6 - 12",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,HAN Heeju,World Judo Championships Seniors Hungary 2021,"June
6 - 12",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,DEL TORO CARVAJAL Maylin,World Judo Championships Seniors Hungary 2021,"June
6 - 12",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,VERMEER Sanne,World Judo Championships Seniors Hungary 2021,"June
6 - 12",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,LESKI Andreja,World Judo Championships Seniors Hungary 2021,"June
6 - 12",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,RENSHALL Lucy,Doha Masters 2021,"January
11 - 13",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,BARRIOS Anriquelis,Doha Masters 2021,"January
11 - 13",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,KRSSAKOVA Magdalena,Doha Masters 2021,"January
11 - 13",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,NABEKURA Nami,Doha Masters 2021,"January
11 - 13",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,DOBRE Stefania Adelina,European Seniors Championships 2020,"November
19 - 21",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,SZYMANSKA Angelika,European Seniors Championships 2020,"November
19 - 21",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,FRANSSEN Juul,European Seniors Championships 2020,"November
19 - 21",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,KRSSAKOVA Magdalena,European Seniors Championships 2020,"November
19 - 21",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,BELKADI Amina,Paris Grand Slam 2020,"February
8 - 9",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,VAN DEN BERG Geke,Paris Grand Slam 2020,"February
8 - 9",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,BEAUCHEMIN-PINARD Catherine,Paris Grand Slam 2020,"February
8 - 9",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,LESKI Andreja,Paris Grand Slam 2020,"February
8 - 9",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,NABEKURA Nami,Paris Grand Slam 2020,"February
8 - 9",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,UNTERWURZACHER Kathrin,Qingdao Masters 2019,"December
12 - 14",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,LIVESEY Amy,Qingdao Masters 2019,"December
12 - 14",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,CENTRACCHIO Maria,Qingdao Masters 2019,"December
12 - 14",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,DOI Masako,Qingdao Masters 2019,"December
12 - 14",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,NABEKURA Nami,Qingdao Masters 2019,"December
12 - 14",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,SCHLESINGER Alice,World Championships Senior 2019,"August
25 - 31",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,AWITI ALCARAZ Prisca,World Championships Senior 2019,"August
25 - 31",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,LIAO Yu-Jung,World Championships Senior 2019,"August
25 - 31",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,FRANSSEN Juul,World Championships Senior 2019,"August
25 - 31",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,TASHIRO Miku,World Championships Senior 2019,"August
25 - 31",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,SHEMESH Inbal,European Games Minsk 2019,"June
22 - 25",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,TALACH-GAST Karolina,European Games Minsk 2019,"June
22 - 25",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,VERMEER Sanne,European Games Minsk 2019,"June
22 - 25",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,SCHLESINGER Alice,European Games Minsk 2019,"June
22 - 25",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,DEL TORO CARVAJAL Maylin,Paris Grand Slam 2019,"February
9 - 10",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,BELKADI Amina,Paris Grand Slam 2019,"February
9 - 10",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,BEAUCHEMIN-PINARD Catherine,Paris Grand Slam 2019,"February
9 - 10",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,LESKI Andreja,Paris Grand Slam 2019,"February
9 - 10",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,TRSTENJAK Tina,Paris Grand Slam 2019,"February
9 - 10",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,SCHLESINGER Alice,Guangzhou Masters 2018,"December
15 - 16",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,BALDORJ Mungunchimeg,Guangzhou Masters 2018,"December
15 - 16",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,TASHIRO Miku,Guangzhou Masters 2018,"December
15 - 16",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,NABEKURA Nami,Guangzhou Masters 2018,"December
15 - 16",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,GERCSAK Szabina,World Championships Teams Baku 2018,"September
27 - 27",Round 2  -70 kg  #22
0,PORTELA Maria,AGBEGNENOU Clarisse,World Championships Teams Baku 2018,"September
27 - 27",Quarter-Final  -70 kg  #27
0,AGBEGNENOU Clarisse,BOLD Gankhaich,World Championships Seniors Baku 2018,"September
20 - 26",Round 2  -63 kg  #33
0,AGBEGNENOU Clarisse,KATIPOGLU Busra,World Championships Seniors Baku 2018,"September
20 - 26",Round 3  -63 kg  #49
0,AGBEGNENOU Clarisse,HAECKER Katharina,World Championships Seniors Baku 2018,"September
20 - 26",Quarter-Final  -63 kg  #57
0,AGBEGNENOU Clarisse,TRAJDOS Martyna,World Championships Seniors Baku 2018,"September
20 - 26",Semi-Final  -63 kg  #63
0,AGBEGNENOU Clarisse,TASHIRO Miku,World Championships Seniors Baku 2018,"September
20 - 26",Final  -63 kg  #67
0,AGBEGNENOU Clarisse,OLSEN Laerke,European Senior Championships 2018,"April
26 - 28",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,RENSHALL Lucy,European Senior Championships 2018,"April
26 - 28",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,TRAJDOS Martyna,European Senior Championships 2018,"April
26 - 28",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,TRSTENJAK Tina,European Senior Championships 2018,"April
26 - 28",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,VAN DEN BERG Geke,Tbilisi Grand Prix 2018,"Mar - Apr
30 - 1",Round 2  -63 kg  #17
0,AGBEGNENOU Clarisse,PASCOALINO Yanka,Tbilisi Grand Prix 2018,"Mar - Apr
30 - 1",Quarter-Final  -63 kg  #25
0,AGBEGNENOU Clarisse,SHEMESH Inbal,Tbilisi Grand Prix 2018,"Mar - Apr
30 - 1",Semi-Final  -63 kg  #31
0,AGBEGNENOU Clarisse,TALACH-GAST Karolina,Tbilisi Grand Prix 2018,"Mar - Apr
30 - 1",Final  -63 kg  #35
0,AGBEGNENOU Clarisse,SHI Cuijuan,Paris Grand Slam 2018,"February
10 - 11",Round 2  -63 kg  #21
0,AGBEGNENOU Clarisse,FRANSSEN Juul,Paris Grand Slam 2018,"February
10 - 11",Quarter-Final  -63 kg  #27
